Artist,Title,Week(s) in Charts,Peak,Week
Demis Roussos,Goodbye| My Love| Goodbye,23,1,2015-02-01
Demi Lovato feat. Ariana Grande,Met Him Last Night,2,88,2021-04-18
Demi Lovato,Sorry Not Sorry,18,47,2017-11-26
Demi Lovato,Sober,1,61,2018-07-01
Demi Lovato,Skyscraper,1,67,2012-03-04
Demi Lovato,Let It Go,5,60,2014-04-27
Demi Lovato,I Love Me,1,65,2020-03-15
Demi Lovato,Heart Attack,1,73,2013-04-28
Demi Lovato,Cool For The Summer,5,64,2015-09-27
Deichkind,Leider geil (leider geil),3,61,2012-04-01
Dean Martin,Rudolph The Red Nosed Reindeer,2,76,2019-12-29
Dean Martin,Let It Snow! Let It Snow! Let It Snow!,9,15,2021-01-03
Dean Lewis,Be Alright,43,6,2019-08-18
Deadmau5 feat. Chris James,The Veldt,1,68,2012-07-15
Daya,Hide Away,9,55,2016-04-24
Davin Herbrüggen,The River,1,25,2019-05-05
David Pfeffer,I'm Here,2,12,2011-12-25
David Guetta| Cedric Gervais & Chris Willis,Would I Lie To You,24,24,2017-03-19
David Guetta| Brooks & Loote,Better When You're Gone,1,51,2019-02-17
David Guetta| Bebe Rexha & J Balvin,Say My Name,28,14,2019-06-09
David Guetta feat. Zara Larsson,This One's For You,24,1,2016-10-30
David Guetta feat. Usher,Without You,30,3,2012-05-06
David Guetta feat. Taped Rai,Just One Last Time,5,44,2013-02-10
David Guetta feat. Taio Cruz & Ludacris,Little Bad Girl,25,7,2012-01-15
David Guetta feat. Skylar Grey,Shot Me Down,18,6,2014-07-06
David Guetta feat. Sia & Fetty Wap,Bang My Head,29,18,2016-06-19
David Guetta feat. Sia,Titanium,76,9,2013-04-21
David Guetta feat. Sia,She Wolf (Falling To Pieces),31,4,2013-04-21
David Guetta feat. Sam Martin,Lovers On The Sun,28,2,2015-02-15
David Guetta feat. Sam Martin,Dangerous,28,1,2015-06-21
David Guetta feat. Rihanna,Who's That Chick?,33,8,2011-07-24
David Guetta feat. Nicki Minaj & Lil Wayne,Light My Body Up,2,39,2017-04-09
David Guetta feat. Nicki Minaj & Flo Rida,Where Them Girls At,20,3,2011-10-02
David Guetta feat. Nicki Minaj & Afrojack,Hey Mama,30,10,2015-11-15
David Guetta feat. Nicki Minaj,Turn Me On,22,6,2012-07-22
David Guetta feat. Ne-Yo & Akon,Play Hard,35,3,2013-10-13
David Guetta feat. Kid Cudi,Memories,58,7,2021-05-02
David Guetta feat. Kelly Rowland,When Love Takes Over,55,1,2010-05-30
David Guetta feat. Justin Bieber,2U,23,2,2017-11-19
David Guetta feat. Jennifer Hudson,Night Of Your Life,1,24,2011-09-11
David Guetta feat. Faouzia,Battle,1,80,2018-09-23
David Guetta feat. Estelle,One Love,8,48,2010-02-14
David Guetta feat. Emeli Sandé,What I Did For Love,10,37,2015-04-26
David Guetta feat. Chris Brown & Lil Wayne,I Can Only Imagine,4,15,2012-06-17
David Guetta feat. Anne-Marie,Don't Leave Me Alone,9,43,2018-10-14
David Guetta feat. Akon,Sexy Bitch,77,2,2011-02-06
David Guetta / Martin Garrix / Brooks,Like I Do,15,22,2018-06-10
David Guetta & Sia,Let's Love,12,47,2021-01-10
David Guetta & Sia,Flames,38,2,2019-01-20
David Guetta & Showtek feat. Vassy,Bad,24,28,2014-10-19
David Guetta & Showtek,Your Love,1,53,2018-06-24
David Guetta & Morten feat. Aloe Blacc,Never Be Alone,1,69,2019-08-04
David Guetta & GlowInTheDark feat. Harrison,Ain't A Party,1,57,2013-07-28
David Guetta & Chris Willis feat. Fergie & LMFAO,Gettin' Over You,24,11,2010-11-14
David Guetta & Afrojack feat. Charli XCX & French Montana,Dirty Sexy Money,4,52,2017-12-03
David Bowie,★ [Blackstar],1,20,2016-01-17
David Bowie,Where Are We Now?,1,52,2013-01-27
David Bowie,Sue (Or In A Season Of Crime),1,54,2016-01-17
David Bowie,Space Oddity,2,15,2016-01-24
David Bowie,Life On Mars?,1,48,2016-01-17
David Bowie,Let's Dance,13,1,2016-01-24
David Bowie,Lazarus,2,16,2016-01-24
David Bowie,I Can't Give Everything Away,1,45,2016-01-17
David Bowie,Heroes,2,17,2016-01-24
David Bowie,Dollar Days,1,46,2016-01-17
David Bowie,China Girl,6,8,2016-01-17
Data Luv,Now*,1,92,2019-09-01
Daryl Hall & John Oates,Jingle Bell Rock,1,61,2017-12-31
Darlene Love,Christmas (Baby Please Come Home),2,44,2019-12-29
Darius & Finlay feat. Carlprit & Nicco,Do It All Night 2K12,6,11,2012-07-01
Dardan| Eno & Noah,Aventador,1,58,2020-06-14
Dardan x Nimo,Telefon,2,43,2017-10-01
Dardan x Luciano,Airmax gegen Kopf,1,71,2018-02-11
Dardan und Nimo,Piccos,1,81,2018-06-03
Dardan feat. Xiara,Genauso,3,40,2019-09-08
Dardan feat. Reezy,Details,1,73,2020-08-23
Dardan feat. Mozzik,A Milly,3,20,2019-06-23
Dardan feat. Eno,Wer macht Para 2,3,14,2019-07-14
Dardan & Veysel,Viele,2,20,2020-05-17
Dardan & Monet192,H &lt;3 T E L,11,4,2020-06-14
Dardan & Monet192,Gigi,1,50,2020-09-13
Dardan & Monet192,Gar kein Bock,1,46,2020-08-30
Dardan & Loredana,Gib mir nicht die Schuld,1,79,2020-06-14
Dardan & Hava,Mailbox,3,21,2020-10-25
Dardan & Gunboi,Who The Fuck Is This?,1,97,2020-11-15
Dardan,Wie lang?????????,2,26,2020-05-03
Dardan,Vija vija,4,13,2021-02-14
Dardan,Sorry,1,63,2019-05-26
Dardan,Ma Bae,5,34,2020-08-30
Dardan,Komm zu Hypnotize,1,51,2019-07-14
Dardan,Kadale,2,38,2019-08-04
Dardan,Ka je,3,25,2021-01-10
Dardan,Favela,2,26,2020-06-07
Dardan,Facetime,12,39,2019-03-17
Dardan,D A YYY T O N A,4,17,2020-03-29
Dardan,Coke Light,2,25,2021-02-21
Dardan,Coco Mama,12,12,2019-06-30
Dardan,6AM.........,4,19,2020-02-09
Danny Ocean,Me rehúso,29,34,2018-01-14
Danitsa,Captain,7,54,2018-03-25
Daniele Negroni,Oh Jonny,1,62,2012-06-10
Daniele Negroni,Forgive Forget,1,45,2012-06-10
Daniele Negroni,Don't Think About Me,3,2,2012-05-27
Daniele Negroni,Absolutely Right,2,20,2012-06-17
Daniela Katzenberger,Nothing's Gonna Stop Me Now,1,60,2010-09-05
Daniel Merriweather feat. Wale,Change,17,6,2010-03-07
Dan + Shay / Justin Bieber,10|000 Hours,9,21,2019-12-08
Damso feat. Hamza,BXL Zoo,3,16,2020-10-11
Damso feat. Angèle,Silence,1,48,2018-06-24
Damso,veillé,1,77,2020-02-02
Damso,Tueurs,1,63,2017-12-10
Damso,Smog,4,21,2018-07-08
Damso,Signaler,2,62,2017-05-14
Damso,Nwaar Is The New Black,2,56,2017-05-14
Damso,Morose,1,92,2021-05-02
Damso,Macarena,12,45,2017-07-23
Damso,Life Life,2,22,2020-10-04
Damso,Ipséité,2,26,2018-05-13
Damso,Feu de bois,2,30,2018-07-01
Damso,Fais-moi un vie,1,100,2018-03-25
Damso,Deux toiles de mer,3,9,2020-10-11
Damien Rice,9 Crimes,1,56,2013-11-17
Damian Lynn,When We Do It,15,38,2017-04-30
Damian Lynn,Feel The Heat,4,45,2018-07-22
Dami Im,Sound Of Silence,1,55,2016-05-22
Daft Punk feat. Pharrell Williams,Lose Yourself To Dance,5,59,2013-10-27
Daft Punk feat. Pharrell Williams,Get Lucky,57,1,2021-02-28
Daft Punk feat. Julian Casablancas,Instant Crush,12,40,2014-04-06
Daft Punk,Give Life Back To Music,1,58,2013-06-02
Dafina Zeqiri feat. Ledri Vula & Lumi B,Aman,1,79,2020-07-12
Dafina Zeqiri,Million $,1,82,2020-08-30
Dafina Zeqiri,Duro,1,95,2021-03-28
Dadju x Ninho,Grand bain,11,53,2020-09-13
Dadju feat. Tiakola,Dieu merci,1,94,2020-10-18
Dadju,Reine,3,84,2018-01-28
Dadju,Jaloux,8,37,2018-12-02
Dadju,Compliqué,1,86,2019-11-24
Daddy Yankee feat. Snow,Con calma,45,2,2020-01-12
Daddy Yankee,Lovumba (Prestige),1,56,2012-02-05
Daddy Yankee,Limbo,13,33,2013-08-04
Daddy Yankee,Dura,30,22,2018-08-26
Dada Ante Portas,I Would Give You My Love,4,47,2010-02-21
Dabu Fantastic,Frisch usem Ei,1,89,2019-02-17
Dabu Fantastic,Angelina,25,31,2017-03-05
DaBaby feat. Roddy Ricch,Rockstar,54,1,2021-05-02
DaBaby,Find My Way,2,68,2020-04-26
DaBaby,Bop,9,49,2020-02-16
Da Sign & The Opposite,Slow Down Take It Easy,12,5,2010-05-23
DVBBS & Borgeous,Tsunami,28,17,2014-04-27
DNCE,Cake By The Ocean,36,13,2016-10-16
DMX,X Gon' Give It To Ya,16,14,2021-04-18
DJane HouseKat feat. Rameez,My Party,7,14,2012-06-17
DJ Ötzi und Nik P.,Geboren um dich zu lieben,4,29,2017-01-15
DJ Ötzi & Nik P.,Ein Stern (... der deinen Namen trägt),118,2,2010-01-17
DJ Tommy,Welcome To SVP,2,6,2015-09-27
DJ Snake feat. Selena Gomez| Ozuna & Cardi B,Taki Taki,34,3,2019-07-21
DJ Snake feat. Lauv,A Different Way,2,63,2017-10-15
DJ Snake feat. Justin Bieber,Let Me Love You,40,1,2017-05-14
DJ Snake feat. Bipolar Sunshine,Middle,25,42,2016-08-14
DJ Snake and Lil Jon,Turn Down For What,16,36,2014-08-31
DJ Snake & Selena Gomez,Selfish Love,1,76,2021-03-14
DJ Snake & J Balvin feat. Tyga,Loco contigo,41,2,2020-04-19
DJ Snake & AlunaGeorge,You Know You Like It,15,24,2015-10-11
DJ Mico feat. Sandy & MC Tiramisu,Graubünda,3,48,2014-11-30
DJ Khaled feat. SZA,Just Us,4,81,2019-08-11
DJ Khaled feat. Rihanna & Bryson Tiller,Wild Thoughts,22,3,2017-11-19
DJ Khaled feat. Justin Bieber| Quavo| Chance The Rapper & Lil Wayne,I'm The One,22,6,2017-10-01
DJ Khaled feat. Justin Bieber| Chance The Rapper & Quavo,No Brainer,9,12,2018-09-30
DJ Khaled feat. Jay Z| Future & Beyoncé,Top Off,1,66,2018-03-11
DJ Khaled feat. Drake,Popstar,17,18,2020-11-22
DJ Khaled feat. Drake,Greece,19,11,2020-11-29
DJ Khaled feat. Chris Brown| Lil Wayne & Big Sean,Jealous,1,80,2019-05-26
DJ Khaled feat. Cardi B & 21 Savage,Wish Wish,1,90,2019-05-26
DJ Khaled & Calvin Harris feat. Travis Scott & Jeremih,Don't Quit,1,76,2017-07-02
DJ Jeezy feat. Summer Cem| JAY1 & Nimo,OK,1,79,2021-04-25
DJ Jeezy / Luciano / Reezy / Kalim,Birkin Bag,1,79,2021-01-24
DJ Fresh feat. Rita Ora,Hot Right Now,3,39,2012-07-29
DJ Ecko & Robin Tune,Ocean Drive,1,71,2016-07-31
DJ BoBo feat. Manu-L,Somebody Dance With Me (Remady 2013 Mix),12,4,2013-10-06
DJ BoBo & Mike Candys,Take Control,3,6,2013-10-06
DJ BoBo & Inna,Everybody,1,60,2013-10-06
DJ BoBo,Superstar,7,14,2010-04-04
DJ BoBo,Everybody's Gonna Dance,1,72,2011-12-11
DJ Antoine| Sido & Moe Phoenix,Yallah Habibi,3,36,2018-06-24
DJ Antoine| Gölä & Trauffer,Ma chérie,5,7,2020-03-01
DJ Antoine vs. Timati feat. Kalenna,Welcome To St. Tropez,53,2,2012-05-06
DJ Antoine vs. Mad Mark feat. B-Case & U-Jean,House Party,2,40,2013-10-27
DJ Antoine vs. Mad Mark feat. B-Case & Shontelle,Perfect Day,1,29,2013-02-10
DJ Antoine vs. Mad Mark,We Will Never Grow Old,2,36,2013-10-20
DJ Antoine vs. Mad Mark,Sky Is The Limit,7,7,2013-06-09
DJ Antoine vs Mad Mark feat. Jason Walker,Wild Side,4,56,2015-02-01
DJ Antoine feat. Tom Dice,Sunlight,28,10,2012-02-19
DJ Antoine feat. The Beat Shakers,"""Ma chérie""",99,2,2013-03-17
DJ Antoine feat. Karl Wolf & Fito Blanko,Ole ole,1,60,2018-05-13
DJ Antoine feat. Jay Sean,Weekend Love,2,23,2016-04-03
DJ Antoine feat. Armando & Jimmi The Dealer,El Paradiso,1,81,2018-02-04
DJ Antoine feat. Akon,Holiday,13,8,2015-10-04
DJ Antoine & Mad Mark feat. Temara Melek & Euro,Go With Your Heart,2,50,2014-09-14
DJ Antoine & Dizkodude feat. Sibbyl,I Love Your Smile,1,95,2017-08-20
DJ Antoine,We Are FCB Megamix,1,63,2013-12-08
DJ Antoine,Thank You,8,42,2016-04-10
DJ Antoine,Light It Up,2,29,2014-06-29
DJ Antoine,La vie en rose,2,47,2017-05-14
DJ Antoine,Every Breath,4,10,2010-01-03
DJ Antoine,Bella vita,29,1,2013-08-25
DJ A-Boom x Kidda,E imja,1,36,2017-06-25
DAT ADAM,Forrest,1,31,2015-04-26
DAT ADAM,700 Main St,1,53,2015-05-03
Céline Dion,Pour que tu m'aimes encore,21,17,2013-10-27
Céline Dion,Parler à mon père,5,25,2012-12-16
Céline Dion,Loved Me Back To Life,6,25,2013-12-08
Céline Dion,Happy Xmas (War Is Over),2,70,2019-12-29
Céline Dion,Encore un soir,17,25,2017-01-01
Céline Dion,Ashes,1,65,2018-05-13
Cur de Pirate & Julien Doré,Pour un infidèle,13,43,2010-05-02
Culcha Candela,Wildes Ding,4,54,2012-02-12
Culcha Candela,Von allein,12,35,2012-08-19
Culcha Candela,Schöne neue Welt,34,27,2010-05-23
Culcha Candela,Move It,3,49,2010-11-07
Culcha Candela,Monsta,44,8,2011-04-03
Culcha Candela,Hungry Eyes,2,44,2011-12-11
Culcha Candela,Hamma!,33,13,2010-04-25
Culcha Candela,Berlin City Girl,4,47,2012-01-22
Cro| Trettmann & KitschKrieg,10419,1,78,2018-09-16
Cro feat. Shindy,SYGL,1,33,2021-03-14
Cro & Badchieff,Fall auf,1,74,2020-08-23
Cro,Whatever,14,6,2013-10-13
Cro,Unendlichkeit,3,42,2017-09-17
Cro,Traum,30,1,2015-07-26
Cro,Smooth,1,96,2021-04-04
Cro,Noch da,1,79,2018-03-25
Cro,Melodie,1,49,2014-06-15
Cro,Hey Girl,2,34,2014-06-22
Cro,Einmal um die Welt,21,27,2013-05-05
Cro,Easy,43,22,2013-04-07
Cro,Du,18,42,2013-01-20
Cro,Bye Bye,26,7,2016-01-03
Cro,Bad Chick,1,69,2014-09-14
Cro,Alles dope,1,62,2021-02-07
Cris Cab,Liar Liar,20,8,2014-07-06
Crimer,Brotherlove,2,94,2017-05-28
Craig David feat. Bastille,I Know You,1,65,2017-12-03
Corinne Bailey Rae,The Scientist,2,61,2017-02-26
Conkarah feat. Shaggy,Banana,8,61,2020-08-23
Conchita Wurst,Rise Like A Phoenix,4,2,2014-06-08
Conan Gray,Heather,9,79,2020-11-01
Common & John Legend,Glory,1,38,2015-03-01
Colonel Reyel,Aurélie,2,61,2011-07-10
Coldplay & Rihanna,Princess Of China,16,20,2012-09-23
Coldplay & Big Sean,Miracles (Someone Special),3,45,2017-08-20
Coldplay,Viva la vida,76,5,2010-02-07
Coldplay,Up&amp;Up,3,32,2016-07-03
Coldplay,The Scientist,4,28,2012-12-02
Coldplay,Paradise,34,4,2012-06-24
Coldplay,Orphans,6,25,2019-12-08
Coldplay,Midnight,3,19,2014-05-18
Coldplay,Magic,31,5,2014-11-09
Coldplay,Hypnotised,1,45,2017-03-12
Coldplay,Hymn For The Weekend,71,7,2017-07-09
Coldplay,Everyday Life,2,43,2019-12-01
Coldplay,Every Teardrop Is A Waterfall,19,6,2011-11-20
Coldplay,Everglow,3,16,2015-12-20
Coldplay,Christmas Lights,11,10,2021-01-03
Coldplay,Champion Of The World,1,56,2019-12-01
Coldplay,Atlas,4,10,2013-10-13
Coldplay,Another's Arms,1,52,2014-05-25
Coldplay,Adventure Of A Lifetime,30,3,2016-06-26
Coldplay,A Sky Full Of Stars,44,2,2015-03-15
Colbie Caillat,Brighter Than The Sun,5,55,2011-08-21
Colapesce & Dimartino,Musica leggerissima,4,35,2021-04-04
Cobra Starship feat. Sabi,You Make Me Feel...,11,47,2012-02-05
Clokx,Oddity,7,20,2012-02-05
Clean Bandit feat. Zara Larsson,Symphony,43,6,2018-01-21
Clean Bandit feat. Sean Paul & Anne-Marie,Rockabye,47,1,2018-01-07
Clean Bandit feat. Julia Michaels,I Miss You,24,43,2018-04-15
Clean Bandit feat. Jess Glynne,Rather Be,58,2,2015-04-19
Clean Bandit feat. Demi Lovato,Solo,36,2,2019-02-03
Clean Bandit and Mabel feat. 24kGoldn,Tick Tock,28,17,2021-03-07
Clean Bandit & Jess Glynne,Real Love,10,37,2015-03-22
Claudia Emmanuela Santoso,Goodbye,1,62,2019-11-17
Chuck Berry,Johnny B. Goode,1,83,2017-03-26
Christopher S feat. Max Urban,Star,3,64,2011-11-27
Christophe Maé,Tombé sous le charme,9,38,2013-08-18
Christophe Maé,Je me lâche,10,47,2010-09-19
Christophe Maé,Il est où le bonheur,1,70,2016-05-22
Christophe Maé,Dingue| dingue| dingue,15,30,2010-12-12
Christophe,Les mots bleus,1,64,2020-04-26
Christophe,Aline,14,4,2020-04-26
Christoph Walter Orchestra,Schwingerlüüt im Schwizerland,1,62,2019-09-15
Christine And The Queens,Saint Claude,1,60,2015-02-22
Christine And The Queens,Christine,27,32,2015-08-16
Christina Stürmer,Wir leben den Moment,2,52,2010-10-17
Christina Stürmer,Was wirklich bleibt,1,40,2015-06-14
Christina Stürmer,Millionen Lichter,2,61,2013-05-26
Christina Perri,Jar Of Hearts,24,5,2012-11-18
Christina Perri,Human,5,14,2014-04-13
Christina Perri,A Thousand Years,9,21,2014-04-13
Christina Aguilera feat. Demi Lovato,Fall In Line,1,86,2018-05-27
Christina Aguilera,Your Body,7,22,2012-12-02
Christina Aguilera,Show Me How You Burlesque,5,26,2011-02-20
Christina Aguilera,Not Myself Tonight,6,42,2010-07-04
Christina Aguilera,Express,3,54,2011-02-06
Christian Vale,Apréndi,2,29,2014-10-12
Chris Schummert,The Singer,2,17,2014-01-05
Chris Rea,Driving Home For Christmas,22,12,2021-01-03
Chris Malinchak,So Good To Me,12,33,2013-08-25
Chris Brown x Tyga,Ayo,18,43,2015-06-14
Chris Brown feat. Justin Bieber & Ink,Don't Check On Me,1,48,2019-07-07
Chris Brown feat. Justin Bieber,Next To You,1,74,2011-09-04
Chris Brown feat. Future & Young Thug,High End,1,78,2017-10-22
Chris Brown feat. Drake,No Guidance,11,29,2019-09-15
Chris Brown feat. Benny Benassi,Beautiful People,26,26,2012-05-13
Chris Brown & Young Thug,Go Crazy,15,59,2020-11-01
Chris Brown,Yeah 3X,30,7,2011-09-04
Chris Brown,With You,31,24,2011-03-13
Chris Brown,Undecided,1,47,2019-01-13
Chris Brown,Turn Up The Music,10,39,2012-07-15
Chris Brown,Questions,12,55,2017-11-12
Chris Brown,Privacy,1,95,2017-04-02
Chris Brown,Don't Wake Me Up,25,12,2012-12-09
Chingiz,Truth,1,43,2019-05-26
Childish Gambino,This Is America,6,16,2018-06-17
Childish Gambino,Summertime Magic,1,81,2018-07-22
Chiddy Bang,Opposite Of Adults,17,18,2010-12-19
Chiara D'Amico,Eine Nacht,1,67,2020-04-12
Chiara Castelli,Sticky Situation,1,87,2019-10-13
Cheryl Cole,Fight For This Love,26,3,2010-08-15
Cher,I Hope You Find It / Woman's World,1,26,2013-10-20
Cheat Codes x Kris Kross Amsterdam,Sex,22,27,2016-09-11
Cheat Codes feat. Demi Lovato,No Promises,22,41,2017-09-03
Cheat Codes & Dante Klein,Let Me Hold You (Turn Me On),16,40,2016-11-20
Charlie Winston,Like A Hobo,40,27,2010-02-14
Charlie Puth feat. Selena Gomez,We Don't Talk Anymore,30,16,2017-01-29
Charlie Puth feat. Meghan Trainor,Marvin Gaye,35,2,2016-04-03
Charlie Puth feat. Kehlani,Done For Me,1,55,2018-03-25
Charlie Puth,One Call Away,28,10,2016-07-31
Charlie Puth,How Long,24,20,2018-03-25
Charlie Puth,Attention,42,6,2018-02-11
Charlie Charles| Sfera Ebbasta & Ghali,Peace &amp; Love,1,31,2018-05-13
Charli XCX,Break The Rules,12,13,2015-04-12
Charli XCX,Boom Clap,12,33,2014-11-30
Charley Ann Schmutzler,Blue Heart,2,12,2014-12-21
Chanée & N'Evergreen,In A Moment Like This,1,12,2010-06-13
Cesár Sampson,Nobody But You,1,45,2018-05-20
Cee Lo Green,F**k You!,18,13,2011-03-13
Cee Lo Green,Bright Lights Bigger City,7,54,2011-07-24
Cavern Street,Hello Tomorrow,1,17,2016-01-24
Cats On Trees,Sirens Call,7,44,2014-03-09
Cassandra Steen feat. Adel Tawil,Stadt,26,31,2011-04-17
Casper,Im Ascheregen,1,42,2013-08-18
Casper,Hinterland,1,51,2013-09-22
Cascada,The Rhythm Of The Night,7,22,2012-08-19
Cascada,Summer Of Love,16,13,2012-08-05
Cascada,Glorious,1,56,2013-03-03
Cascada,Evacuate The Dancefloor,35,7,2010-04-25
Caroline Chevin,Hey World,3,26,2013-03-10
Caroline Chevin,Back In The Days,5,54,2010-10-03
Carolina Marquez feat. Flo Rida & Dale Saunders,Sing La La La,1,70,2013-03-31
Caro Emerald,A Night Like This,28,9,2011-11-13
Carly Rae Jepsen,Tonight I'm Getting Over You,1,74,2013-04-07
Carly Rae Jepsen,I Really Like You,21,15,2015-08-30
Carly Rae Jepsen,Call Me Maybe,60,1,2013-05-19
Carlprit feat. Jaicko,Remember To Forget,1,61,2014-02-16
Carlprit,Fiesta,1,45,2013-01-06
Carlos Vives & Shakira,La bicicleta,19,54,2017-06-04
Carl Espen,Silent Storm,1,40,2014-05-18
Cardi B| Bad Bunny & J Balvin,I Like It,51,8,2019-04-07
Cardi B feat. Migos,Drip,1,95,2018-04-15
Cardi B feat. Megan Thee Stallion,WAP,19,5,2021-01-10
Cardi B feat. 21 Savage,Bartier Cardi,2,79,2018-01-21
Cardi B & Bruno Mars,Please Me,5,57,2019-03-24
Cardi B,Up,12,47,2021-05-02
Cardi B,Press,1,97,2019-06-09
Cardi B,Bodak Yellow,5,74,2017-11-05
Capo feat. Veysel,Coco Chanel,1,65,2020-11-01
Capo Plaza,Allenamento #4,1,97,2021-01-17
Capo & Nimo,Mon chéri,2,38,2017-11-19
Capo,Run Run Run,7,22,2019-09-22
Capo,Karakol,2,36,2020-03-15
Capo,Im Rhythmus gefangen,2,38,2019-10-27
Capo,Alexander Wang,1,83,2019-06-23
Capital T x Ledri Vula,DMP,1,85,2020-06-28
Capital T,Akull,1,64,2019-12-01
Capital Cities,Safe And Sound,35,8,2014-01-19
Capital Bra x Samra & Lea,110,37,2,2020-11-22
Capital Bra x Samra,Wir ticken,10,1,2019-06-02
Capital Bra x Samra,Tilidin,35,1,2020-03-01
Capital Bra x Samra,Nummer 1,6,2,2019-10-06
Capital Bra x Loredana,Nicht verdient,9,1,2020-07-05
Capital Bra x Jamule,Aventador,3,11,2021-03-28
Capital Bra x Cro,Frühstück in Paris,12,3,2020-11-15
Capital Bra x Clueso x KC Rebell,Andere Welt,10,3,2020-10-18
Capital Bra feat. Xatar x SAMY,Ich liebe es,7,13,2018-12-16
Capital Bra feat. Ufo361,Neymar,22,3,2018-10-07
Capital Bra feat. Ufo361,Na na na,2,54,2017-10-15
Capital Bra feat. Summer Cem & KC Rebell,Rolex,13,1,2019-07-14
Capital Bra feat. Samra & AK Ausserkontrolle,Fightclub,2,9,2018-10-28
Capital Bra feat. Nimo,Bye Bye,1,12,2019-04-21
Capital Bra feat. Luciano & Eno,Roli Glitzer Glitzer,3,7,2018-11-25
Capital Bra feat. Loredana,Wenn ich will,1,78,2020-10-11
Capital Bra feat. King Khalil,Zweistellige Haftstrafen,1,58,2017-10-08
Capital Bra feat. King Khalil,Kennzeichen B-TK,1,10,2018-07-01
Capital Bra feat. Juju,Melodien,13,1,2019-01-06
Capital Bra feat. Gzuz,Paff paff weiter 2,1,77,2017-10-08
Capital Bra feat. Capital T,Wann dann,1,15,2018-07-01
Capital Bra feat. Bushido,Maybach,2,16,2018-11-18
Capital Bra & Samra,Berlin lebt wie nie zuvor,5,5,2019-11-10
Capital Bra & Samra,100k Cash,4,3,2020-03-29
Capital Bra & NGEE,Unter Verdacht,2,9,2021-05-02
Capital Bra & Bozza,Ich weiß nicht mal wie sie heißt,5,3,2020-07-26
Capital Bra,Prinzessa,11,1,2019-04-14
Capital Bra,One Night Stand,16,2,2018-09-23
Capital Bra,Makarov Komplex II,1,31,2020-09-27
Capital Bra,Komm komm,4,3,2020-06-21
Capital Bra,Feuer,6,11,2019-01-13
Capital Bra,Einsam an der Spitze,6,5,2020-11-01
Capital Bra,Der Bratan bleibt der gleiche,9,2,2020-02-02
Capital Bra,Cherry Lady,17,1,2019-07-21
Capital Bra,Capital Bra je m'appelle,4,4,2019-03-24
Capital Bra,Berlin lebt immer noch,1,14,2020-09-20
Capital Bra,Berlin lebt,8,2,2018-08-05
Capital Bra,Benzema,12,2,2019-03-17
Capital Bra,Allein,9,4,2019-01-13
Capital Bra,5 Songs in einer Nacht,9,8,2018-06-10
Camélia Jordana,Non non non (Écouter Barbara),7,48,2010-07-04
Camila Cabello feat. Young Thug,Havana,60,2,2019-01-06
Camila Cabello feat. DaBaby,My Oh My,13,37,2020-03-29
Camila Cabello,She Loves Control,1,59,2018-01-21
Camila Cabello,Shameless,1,71,2019-09-15
Camila Cabello,Never Be The Same,15,23,2018-04-15
Camila Cabello,Liar,17,42,2020-01-12
Camila Cabello,Crying In The Club,13,45,2017-08-20
Camila Cabello,Cry For Me,1,90,2019-10-13
Calvin Harris feat. Young Thug| Pharrell Williams & Ariana Grande,Heatstroke,2,40,2017-04-16
Calvin Harris feat. Rihanna,This Is What You Came For,39,4,2017-01-29
Calvin Harris feat. Pharrell Williams| Katy Perry & Big Sean,Feels,25,6,2018-01-07
Calvin Harris feat. Ne-Yo,Let's Go,5,40,2012-07-08
Calvin Harris feat. John Newman,Blame,33,4,2015-04-26
Calvin Harris feat. Haim,Pray To God,7,61,2015-06-21
Calvin Harris feat. Future & Khalid,Rollin,4,73,2017-07-09
Calvin Harris feat. Frank Ocean & Migos,Slide,25,25,2017-08-20
Calvin Harris feat. Florence Welch,Sweet Nothing,19,36,2013-05-26
Calvin Harris feat. Ellie Goulding,Outside,37,5,2015-07-05
Calvin Harris feat. Ellie Goulding,I Need Your Love,25,6,2013-10-20
Calvin Harris feat. Big Sean,Open Wide,1,41,2014-11-09
Calvin Harris feat. Ayah Marar,Thinking About You,7,58,2013-11-24
Calvin Harris / The Weeknd,Over Now,2,41,2020-09-13
Calvin Harris / Alesso / Hurts,Under Control,18,34,2014-03-09
Calvin Harris + Disciples,How Deep Is Your Love,39,4,2016-04-17
Calvin Harris & Sam Smith,Promises,38,3,2019-05-12
Calvin Harris & Rag'n'Bone Man,Giant,35,5,2019-09-15
Calvin Harris & Dua Lipa,One Kiss,43,2,2019-03-03
Calvin Harris,Summer,39,3,2015-01-18
Calvin Harris,My Way,31,2,2017-04-23
Calvin Harris,Feel So Close,8,57,2013-03-10
Calum Scott,You Are The Reason,50,20,2021-03-28
Calum Scott,Dancing On My Own,6,81,2017-02-12
Calogero,Un jour au mauvais endroit,1,74,2014-08-24
Calogero,Je joue de la musique,1,66,2017-06-18
Caligola,I Want You,1,55,2012-12-16
Caligola,Forgive Forget,13,9,2012-07-08
CNCO x Meghan Trainor x Sean Paul,Hey DJ,1,95,2019-04-07
CNCO & Little Mix,Reggaetón lento (Remix),24,18,2018-02-11
CNCO,Se vuelve loca,1,81,2018-07-29
CJ,Whoopty,27,10,2021-05-02
C2C feat. Derek Martin,Happy,9,60,2013-05-12
C2C,Down The Road,19,36,2013-03-03
